Month	        Average_Monthly_Players	Monthly_Gain_/_Loss	Monthly_Gain_/_Loss_%	All_Time_Peak
Last-30-Days	61,174,668	            -3,287,574	        -5.00%	                4,078,311
30-Sep-23	    64,462,242	            -1,652,878	        -3.00%	                4,297,483
30-Aug-23	    66,115,120	            719,353	            1.00%	                4,407,675
30-Jul-23	    65,395,767	            1,470,286	        1.00%	                4,359,718
30-May-23	    65,706,117	            -829,028	        -1.00%	                4,380,408
30-Jun-23	    63,925,481	            -1,780,636	        -3.00%	                4,261,699
30-Apr-23	    66,535,144	            1,333,702	        2.00%	                4,435,676
30-Mar-23	    65,201,442	            -748,769	        -1.00%	                4,346,763
28-Feb-23	    65,950,211	            428,731	    1.00%	4,396,681
30-Jan-23	    65,521,480	            606,993	    1.00%	4,368,099
30-Dec-22	    64,914,487	            -100,058	0.00%	8,655,265
30-Nov-22	    65,014,545	            1,349,531	0.00%	8,668,606
30-Oct-22	    63,665,014	            650,469	    0.00%	8,488,669
30-Sep-22	    63,014,545	            -286,601	0.00%	8,401,939
30-Aug-22	    63,301,146	            550,697	    0.00%	8,440,153
30-Jul-22	    62,750,449	            430,224	    0.00%	8,366,727
30-Jun-22	    62,320,225	            299,079	    0.00%	8,309,363
30-May-22	    62,021,146	            459,130	    0.00%	8,269,486
30-Apr-22	    61,562,016	            538,246	    0.00%	8,208,269
30-Mar-22	    61,023,770	            2,522,615	0.00%	8,136,503
20-Feb-22	58,501,155	651,141	    0.00%	7,800,154
30-Jan-22	57,850,014	827,358	    0.00%	7,713,335
30-Dec-21	57,022,656	1,000,177	0.00%	7,603,021
30-Nov-21	56,022,479	2,421,337	0.00%	7,469,664
30-Oct-21	53,601,142	3,412,351	0.00%	7,146,819
30-Sep-21	50,188,791	2,333,775	0.00%	6,691,839
30-Aug-21	47,855,016	4,194,872	0.00%	6,380,669
30-Jul-21	43,660,144	2,758,698	0.00%	5,821,353
30-Jun-21	40,901,446	1,046,430	0.00%	5,453,526
30-May-21	39,855,016	6,853,541	0.00%	5,314,002
30-Apr-21	33,001,475	3,451,326	0.00%	4,400,197
30-Mar-21	29,550,149	888,045	    0.00%	3,940,020
20-Feb-21	28,662,104	2,253,132	0.00%	3,821,614
30-Jan-21	26,408,972	2,628,429	0.00%	3,521,196
30-Dec-20	23,780,543	5,201,994	0.00%	3,170,739
30-Nov-20	18,578,549	-185,709	0.00%	2,477,140
30-Oct-20	18,764,258	2,228,802	0.00%	4,065,589
30-Sep-20	16,535,456	16,535,456	100.00%	3,380,318
